-------------------------------G4_H
-------------------------------gamma
### Fill Cross Sections for gamma off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012           0           0            0
    1      0.1035           0           0            0
    2      0.1059           0           0            0
    3      0.1084           0           0            0
    4      0.1109           0           0            0
    5      0.1135           0           0            0
    6      0.1161           0           0            0
    7      0.1189           0           0            0
    8      0.1216           0           0            0
    9      0.1245           0           0            0
   10      0.1274           0           0            0
   11      0.1303           0           0            0
   12      0.1334           0           0            0
   13      0.1365           0           0            0
   14      0.1396           0           0            0
   15      0.1429           0           0            0
   16      0.1462           0           0            0
   17      0.1496           0           0            0
   18      0.1531           0           0            0
   19      0.1567           0           0            0
   20      0.1603           0           0            0
   21      0.1641           0           0            0
   22      0.1679           0           0            0
   23      0.1718           0           0            0
   24      0.1758           0           0            0
   25      0.1799           0           0            0
   26      0.1841           0           0            0
   27      0.1884           0           0            0
   28      0.1928           0           0            0
   29      0.1972           0           0            0
   30      0.2018           0           0            0
   31      0.2065           0           0            0
   32      0.2113           0           0            0
   33      0.2163           0           0            0
   34      0.2213           0           0            0
   35      0.2265           0           0            0
   36      0.2317           0           0            0
   37      0.2371           0           0            0
   38      0.2427           0           0            0
   39      0.2483           0           0            0
   40      0.2541           0           0            0
   41        0.26           0           0            0
   42      0.2661           0           0            0
   43      0.2723           0           0            0
   44      0.2786           0           0            0
   45      0.2851           0           0            0
   46      0.2917           0           0            0
   47      0.2985           0           0            0
   48      0.3055           0           0            0
   49      0.3126           0           0            0
   50      0.3199           0           0            0
   51      0.3273           0           0            0
   52       0.335           0           0            0
   53      0.3428           0           0            0
   54      0.3508           0           0            0
   55      0.3589           0           0            0
   56      0.3673           0           0            0
   57      0.3758           0           0            0
   58      0.3846           0           0            0
   59      0.3936           0           0            0
   60      0.4027           0           0            0
   61      0.4121           0           0            0
   62      0.4217           0           0            0
   63      0.4315           0           0            0
   64      0.4416           0           0            0
   65      0.4519           0           0            0
   66      0.4624           0           0            0
   67      0.4732           0           0            0
   68      0.4842           0           0            0
   69      0.4955           0           0            0
   70       0.507           0           0            0
   71      0.5188           0           0            0
   72      0.5309           0           0            0
   73      0.5433           0           0            0
   74      0.5559           0           0            0
   75      0.5689           0           0            0
   76      0.5821           0           0            0
   77      0.5957           0           0            0
   78      0.6095           0           0            0
   79      0.6237           0           0            0
   80      0.6383           0           0            0
   81      0.6531           0           0            0
   82      0.6683           0           0            0
   83      0.6839           0           0            0
   84      0.6998           0           0            0
   85      0.7161           0           0            0
   86      0.7328           0           0            0
   87      0.7499           0           0            0
   88      0.7674           0           0            0
   89      0.7852           0           0            0
   90      0.8035           0           0            0
   91      0.8222           0           0            0
   92      0.8414           0           0            0
   93       0.861           0           0            0
   94       0.881           0           0            0
   95      0.9016           0           0            0
   96      0.9226           0           0            0
   97      0.9441           0           0            0
   98      0.9661           0           0            0
   99      0.9886           0           0            0
  100       1.012           0           0            0
  101       1.035           0           0            0
  102       1.059           0           0            0
  103       1.084           0           0            0
  104       1.109           0           0            0
  105       1.135           0           0            0
  106       1.161           0           0            0
  107       1.189           0           0            0
  108       1.216           0           0            0
  109       1.245           0           0            0
  110       1.274           0           0            0
  111       1.303           0           0            0
  112       1.334           0           0            0
  113       1.365           0           0            0
  114       1.396           0           0            0
  115       1.429           0           0            0
  116       1.462           0           0            0
  117       1.496           0           0            0
  118       1.531           0           0            0
  119       1.567           0           0            0
  120       1.603           0           0            0
  121       1.641           0           0            0
  122       1.679           0           0            0
  123       1.718           0           0            0
  124       1.758           0           0            0
  125       1.799           0           0            0
  126       1.841           0           0            0
  127       1.884           0           0            0
  128       1.928           0           0            0
  129       1.972           0           0            0
  130       2.018           0           0            0
  131       2.065           0           0            0
  132       2.113           0           0            0
  133       2.163           0           0            0
  134       2.213           0           0            0
  135       2.265           0           0            0
  136       2.317           0           0            0
  137       2.371           0           0            0
  138       2.427           0           0            0
  139       2.483           0           0            0
  140       2.541           0           0            0
  141         2.6           0           0            0
  142       2.661           0           0            0
  143       2.723           0           0            0
  144       2.786           0           0            0
  145       2.851           0           0            0
  146       2.917           0           0            0
  147       2.985           0           0            0
  148       3.055           0           0            0
  149       3.126           0           0            0
  150       3.199           0           0            0
  151       3.273           0           0            0
  152        3.35           0           0            0
  153       3.428           0           0            0
  154       3.508           0           0            0
  155       3.589           0           0            0
  156       3.673           0           0            0
  157       3.758           0           0            0
  158       3.846           0           0            0
  159       3.936           0           0            0
  160       4.027           0           0            0
  161       4.121           0           0            0
  162       4.217           0           0            0
  163       4.315           0           0            0
  164       4.416           0           0            0
  165       4.519           0           0            0
  166       4.624           0           0            0
  167       4.732           0           0            0
  168       4.842           0           0            0
  169       4.955           0           0            0
  170        5.07           0           0            0
  171       5.188           0           0            0
  172       5.309           0           0            0
  173       5.433           0           0            0
  174       5.559           0           0            0
  175       5.689           0           0            0
  176       5.821           0           0            0
  177       5.957           0           0            0
  178       6.095           0           0            0
  179       6.237           0           0            0
  180       6.383           0           0            0
  181       6.531           0           0            0
  182       6.683           0           0            0
  183       6.839           0           0            0
  184       6.998           0           0            0
  185       7.161           0           0            0
  186       7.328           0           0            0
  187       7.499           0           0            0
  188       7.674           0           0            0
  189       7.852           0           0            0
  190       8.035           0           0            0
  191       8.222           0           0            0
  192       8.414           0           0            0
  193        8.61           0           0            0
  194        8.81           0           0            0
  195       9.016           0           0            0
  196       9.226           0           0            0
  197       9.441           0           0            0
  198       9.661           0           0            0
  199       9.886           0           0            0
  200       10.12           0           0            0
  201       10.35           0           0            0
  202       10.59           0           0            0
  203       10.84           0           0            0
  204       11.09           0           0            0
  205       11.35           0           0            0
  206       11.61           0           0            0
  207       11.89           0           0            0
  208       12.16           0           0            0
  209       12.45           0           0            0
  210       12.74           0           0            0
  211       13.03           0           0            0
  212       13.34           0           0            0
  213       13.65           0           0            0
  214       13.96           0           0            0
  215       14.29           0           0            0
  216       14.62           0           0            0
  217       14.96           0           0            0
  218       15.31           0           0            0
  219       15.67           0           0            0
  220       16.03           0           0            0
  221       16.41           0           0            0
  222       16.79           0           0            0
  223       17.18           0           0            0
  224       17.58           0           0            0
  225       17.99           0           0            0
  226       18.41           0           0            0
  227       18.84           0           0            0
  228       19.28           0           0            0
  229       19.72           0           0            0
  230       20.18           0           0            0
  231       20.65           0           0            0
  232       21.13           0           0            0
  233       21.63           0           0            0
  234       22.13           0           0            0
  235       22.65           0           0            0
  236       23.17           0           0            0
  237       23.71           0           0            0
  238       24.27           0           0            0
  239       24.83           0           0            0
  240       25.41           0           0            0
  241          26           0           0            0
  242       26.61           0           0            0
  243       27.23           0           0            0
  244       27.86           0           0            0
  245       28.51           0           0            0
  246       29.17           0           0            0
  247       29.85           0           0            0
  248       30.55           0           0            0
  249       31.26           0           0            0
  250       31.99           0           0            0
  251       32.73           0           0            0
  252        33.5           0           0            0
  253       34.28           0           0            0
  254       35.08           0           0            0
  255       35.89           0           0            0
  256       36.73           0           0            0
  257       37.58           0           0            0
  258       38.46           0           0            0
  259       39.36           0           0            0
  260       40.27           0           0            0
  261       41.21           0           0            0
  262       42.17           0           0            0
  263       43.15           0           0            0
  264       44.16           0           0            0
  265       45.19           0           0            0
  266       46.24           0           0            0
  267       47.32           0           0            0
  268       48.42           0           0            0
  269       49.55           0           0            0
  270        50.7           0           0            0
  271       51.88           0           0            0
  272       53.09           0           0            0
  273       54.33           0           0            0
  274       55.59           0           0            0
  275       56.89           0           0            0
  276       58.21           0           0            0
  277       59.57           0           0            0
  278       60.95           0           0            0
  279       62.37           0           0            0
  280       63.83           0           0            0
  281       65.31           0           0            0
  282       66.83           0           0            0
  283       68.39           0           0            0
  284       69.98           0           0            0
  285       71.61           0           0            0
  286       73.28           0           0            0
  287       74.99           0           0            0
  288       76.74           0           0            0
  289       78.52           0           0            0
  290       80.35           0           0            0
  291       82.22           0           0            0
  292       84.14           0           0            0
  293        86.1           0           0            0
  294        88.1           0           0            0
  295       90.16           0           0            0
  296       92.26           0           0            0
  297       94.41           0           0            0
  298       96.61           0           0            0
  299       98.86           0           0            0
  300       101.2           0           0            0
  301       103.5           0           0            0
  302       105.9           0           0            0
  303       108.4           0           0            0
  304       110.9           0           0            0
  305       113.5           0           0            0
  306       116.1           0           0            0
  307       118.9           0           0            0
  308       121.6           0           0            0
  309       124.5           0           0            0
  310       127.4           0           0            0
  311       130.3           0           0            0
  312       133.4           0           0            0
  313       136.5           0   4.663e-07    4.663e-07
  314       139.6           0   4.749e-07    4.749e-07
  315       142.9           0   4.997e-07    4.997e-07
  316       146.2           0   5.517e-07    5.517e-07
  317       149.6           0   6.527e-07    6.527e-07
  318       153.1           0   8.395e-07    8.395e-07
