-------------------------------G4_H
-------------------------------kaon+
### Fill Cross Sections for kaon+ off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012     0.01012    0.002069      0.01219
    1      0.1035     0.01012    0.002069      0.01219
    2      0.1059     0.01012    0.002069      0.01219
    3      0.1084     0.01012     0.00207      0.01219
    4      0.1109     0.01013     0.00207       0.0122
    5      0.1135     0.01013     0.00207       0.0122
    6      0.1161     0.01013    0.002071       0.0122
    7      0.1189     0.01013    0.002071       0.0122
    8      0.1216     0.01013    0.002072       0.0122
    9      0.1245     0.01013    0.002072       0.0122
   10      0.1274     0.01013    0.002072      0.01221
   11      0.1303     0.01014    0.002073      0.01221
   12      0.1334     0.01014    0.002073      0.01221
   13      0.1365     0.01014    0.002074      0.01221
   14      0.1396     0.01014    0.002074      0.01221
   15      0.1429     0.01014    0.002074      0.01222
   16      0.1462     0.01014    0.002075      0.01222
   17      0.1496     0.01015    0.002075      0.01222
   18      0.1531     0.01015    0.002076      0.01222
   19      0.1567     0.01015    0.002076      0.01223
   20      0.1603     0.01015    0.002077      0.01223
   21      0.1641     0.01015    0.002077      0.01223
   22      0.1679     0.01015    0.002077      0.01223
   23      0.1718     0.01016    0.002078      0.01223
   24      0.1758     0.01016    0.002078      0.01224
   25      0.1799     0.01016    0.002079      0.01224
   26      0.1841     0.01016    0.002079      0.01224
   27      0.1884     0.01016     0.00208      0.01224
   28      0.1928     0.01017     0.00208      0.01225
   29      0.1972     0.01017    0.002081      0.01225
   30      0.2018     0.01017    0.002081      0.01225
   31      0.2065     0.01017    0.002082      0.01225
   32      0.2113     0.01017    0.002082      0.01226
   33      0.2163     0.01018    0.002083      0.01226
   34      0.2213     0.01018    0.002083      0.01226
   35      0.2265     0.01018    0.002084      0.01226
   36      0.2317     0.01018    0.002084      0.01227
   37      0.2371     0.01018    0.002085      0.01227
   38      0.2427     0.01019    0.002085      0.01227
   39      0.2483     0.01019    0.002086      0.01227
   40      0.2541     0.01019    0.002087      0.01228
   41        0.26     0.01019    0.002087      0.01228
   42      0.2661     0.01019    0.002088      0.01228
   43      0.2723      0.0102    0.002088      0.01229
   44      0.2786      0.0102    0.002089      0.01229
   45      0.2851      0.0102    0.002089      0.01229
   46      0.2917      0.0102     0.00209      0.01229
   47      0.2985     0.01021    0.002091       0.0123
   48      0.3055     0.01021    0.002091       0.0123
   49      0.3126     0.01021    0.002092       0.0123
   50      0.3199     0.01021    0.002093      0.01231
   51      0.3273     0.01022    0.002093      0.01231
   52       0.335     0.01022    0.002094      0.01231
   53      0.3428     0.01022    0.002094      0.01232
   54      0.3508     0.01022    0.002095      0.01232
   55      0.3589     0.01023    0.002096      0.01232
   56      0.3673     0.01023    0.002097      0.01233
   57      0.3758     0.01023    0.002097      0.01233
   58      0.3846     0.01023    0.002098      0.01233
   59      0.3936     0.01024    0.002099      0.01234
   60      0.4027     0.01024    0.002099      0.01234
   61      0.4121     0.01024      0.0021      0.01234
   62      0.4217     0.01024    0.002101      0.01235
   63      0.4315     0.01025    0.002101      0.01235
   64      0.4416     0.01025    0.002102      0.01235
   65      0.4519     0.01025    0.002103      0.01236
   66      0.4624     0.01026    0.002104      0.01236
   67      0.4732     0.01026    0.002105      0.01236
   68      0.4842     0.01026    0.002105      0.01237
   69      0.4955     0.01027    0.002106      0.01237
   70       0.507     0.01027    0.002107      0.01238
   71      0.5188     0.01027    0.002108      0.01238
   72      0.5309     0.01027    0.002109      0.01238
   73      0.5433     0.01028    0.002109      0.01239
   74      0.5559     0.01028     0.00211      0.01239
   75      0.5689     0.01028    0.002111       0.0124
   76      0.5821     0.01029    0.002112       0.0124
   77      0.5957     0.01029    0.002113       0.0124
   78      0.6095     0.01029    0.002114      0.01241
   79      0.6237      0.0103    0.002115      0.01241
   80      0.6383      0.0103    0.002116      0.01242
   81      0.6531      0.0103    0.002116      0.01242
   82      0.6683     0.01031    0.002117      0.01243
   83      0.6839     0.01031    0.002118      0.01243
   84      0.6998     0.01032    0.002119      0.01243
   85      0.7161     0.01032     0.00212      0.01244
   86      0.7328     0.01032    0.002121      0.01244
   87      0.7499     0.01033    0.002122      0.01245
   88      0.7674     0.01033    0.002123      0.01245
   89      0.7852     0.01033    0.002124      0.01246
   90      0.8035     0.01034    0.002125      0.01246
   91      0.8222     0.01034    0.002126      0.01247
   92      0.8414     0.01035    0.002127      0.01247
   93       0.861     0.01035    0.002128      0.01248
   94       0.881     0.01035    0.002129      0.01248
   95      0.9016     0.01036     0.00213      0.01249
   96      0.9226     0.01036    0.002132      0.01249
   97      0.9441     0.01037    0.002133       0.0125
   98      0.9661     0.01037    0.002134       0.0125
   99      0.9886     0.01038    0.002135      0.01251
  100       1.012     0.01038    0.002136      0.01252
  101       1.035     0.01038    0.002137      0.01252
  102       1.059     0.01039    0.002138      0.01253
  103       1.084     0.01039     0.00214      0.01253
  104       1.109      0.0104    0.002141      0.01254
  105       1.135      0.0104    0.002142      0.01254
  106       1.161     0.01041    0.002143      0.01255
  107       1.189     0.01041    0.002145      0.01256
  108       1.216     0.01042    0.002146      0.01256
  109       1.245     0.01042    0.002147      0.01257
  110       1.274     0.01043    0.002148      0.01257
  111       1.303     0.01043     0.00215      0.01258
  112       1.334     0.01044    0.002151      0.01259
  113       1.365     0.01044    0.002153      0.01259
  114       1.396     0.01045    0.002154       0.0126
  115       1.429     0.01045    0.002155      0.01261
  116       1.462     0.01046    0.002157      0.01261
  117       1.496     0.01046    0.002158      0.01262
  118       1.531     0.01047     0.00216      0.01263
  119       1.567     0.01047    0.002161      0.01263
  120       1.603     0.01048    0.002162      0.01264
  121       1.641     0.01048    0.002164      0.01265
  122       1.679     0.01049    0.002165      0.01265
  123       1.718     0.01049    0.002167      0.01266
  124       1.758      0.0105    0.002169      0.01267
  125       1.799     0.01051     0.00217      0.01268
  126       1.841     0.01051    0.002172      0.01268
  127       1.884     0.01052    0.002173      0.01269
  128       1.928     0.01052    0.002175       0.0127
  129       1.972     0.01053    0.002177      0.01271
