
-------------------------------G4_H
-------------------------------kaon-
### Fill Cross Sections for kaon- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012       0.284           0        0.284
    1      0.1035      0.2838           0       0.2838
    2      0.1059      0.2836           0       0.2836
    3      0.1084      0.2834           0       0.2834
    4      0.1109      0.2833           0       0.2833
    5      0.1135      0.2831           0       0.2831
    6      0.1161      0.2829           0       0.2829
    7      0.1189      0.2827           0       0.2827
    8      0.1216      0.2825           0       0.2825
    9      0.1245      0.2823           0       0.2823
   10      0.1274      0.2821           0       0.2821
   11      0.1303      0.2818           0       0.2818
   12      0.1334      0.2816           0       0.2816
   13      0.1365      0.2814           0       0.2814
   14      0.1396      0.2812           0       0.2812
   15      0.1429       0.281           0        0.281
   16      0.1462      0.2808           0       0.2808
   17      0.1496      0.2806           0       0.2806
   18      0.1531      0.2803           0       0.2803
   19      0.1567      0.2801           0       0.2801
   20      0.1603      0.2799           0       0.2799
   21      0.1641      0.2796           0       0.2796
   22      0.1679      0.2794           0       0.2794
   23      0.1718      0.2792           0       0.2792
   24      0.1758      0.2789           0       0.2789
   25      0.1799      0.2787           0       0.2787
   26      0.1841      0.2784           0       0.2784
   27      0.1884      0.2782           0       0.2782
   28      0.1928      0.2779           0       0.2779
   29      0.1972      0.2777           0       0.2777
   30      0.2018      0.2774           0       0.2774
   31      0.2065      0.2771           0       0.2771
   32      0.2113      0.2769           0       0.2769
   33      0.2163      0.2766           0       0.2766
   34      0.2213      0.2763           0       0.2763
   35      0.2265      0.2761           0       0.2761
   36      0.2317      0.2758           0       0.2758
   37      0.2371      0.2755           0       0.2755
   38      0.2427      0.2752           0       0.2752
   39      0.2483      0.2749           0       0.2749
   40      0.2541      0.2747           0       0.2747
   41        0.26      0.2744           0       0.2744
   42      0.2661      0.2741           0       0.2741
   43      0.2723      0.2738           0       0.2738
   44      0.2786      0.2735           0       0.2735
   45      0.2851      0.2732           0       0.2732
   46      0.2917      0.2728           0       0.2728
   47      0.2985      0.2725           0       0.2725
   48      0.3055      0.2722           0       0.2722
   49      0.3126      0.2719           0       0.2719
   50      0.3199      0.2716           0       0.2716
   51      0.3273      0.2712           0       0.2712
   52       0.335      0.2709           0       0.2709
   53      0.3428      0.2706           0       0.2706
   54      0.3508      0.2702           0       0.2702
   55      0.3589      0.2699           0       0.2699
   56      0.3673      0.2695           0       0.2695
   57      0.3758      0.2692           0       0.2692
   58      0.3846      0.2688           0       0.2688
   59      0.3936      0.2685           0       0.2685
   60      0.4027      0.2681           0       0.2681
   61      0.4121      0.2677           0       0.2677
