-------------------------------G4_H
-------------------------------neutron
### Fill Cross Sections for neutron off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012       12.68           0        12.68
    1      0.1035       12.59           0        12.59
    2      0.1059        12.5           0         12.5
    3      0.1084       12.41           0        12.41
    4      0.1109       12.31           0        12.31
    5      0.1135       12.21           0        12.21
    6      0.1161       12.11           0        12.11
    7      0.1189       12.01           0        12.01
    8      0.1216       11.91           0        11.91
    9      0.1245        11.8           0         11.8
   10      0.1274        11.7           0         11.7
   11      0.1303        11.6           0         11.6
   12      0.1334        11.5           0         11.5
   13      0.1365       11.39           0        11.39
   14      0.1396       11.29           0        11.29
   15      0.1429       11.18           0        11.18
   16      0.1462       11.06           0        11.06
   17      0.1496       10.95           0        10.95
   18      0.1531       10.83           0        10.83
   19      0.1567       10.72           0        10.72
   20      0.1603       10.63           0        10.63
   21      0.1641       10.53           0        10.53
   22      0.1679       10.43           0        10.43
   23      0.1718       10.33           0        10.33
   24      0.1758       10.23           0        10.23
   25      0.1799       10.13           0        10.13
   26      0.1841       10.02           0        10.02
   27      0.1884       9.907           0        9.907
   28      0.1928       9.805           0        9.805
   29      0.1972        9.72           0         9.72
   30      0.2018       9.634           0        9.634
   31      0.2065       9.545           0        9.545
   32      0.2113       9.454           0        9.454
   33      0.2163       9.362           0        9.362
   34      0.2213       9.267           0        9.267
   35      0.2265        9.17           0         9.17
   36      0.2317        9.07           0         9.07
   37      0.2371       8.971           0        8.971
   38      0.2427        8.88           0         8.88
   39      0.2483       8.787           0        8.787
   40      0.2541       8.691           0        8.691
   41        0.26       8.593           0        8.593
   42      0.2661       8.493           0        8.493
   43      0.2723       8.391           0        8.391
   44      0.2786       8.286           0        8.286
   45      0.2851       8.179           0        8.179
   46      0.2917       8.072           0        8.072
   47      0.2985       7.991           0        7.991
   48      0.3055       7.909           0        7.909
   49      0.3126       7.825           0        7.825
   50      0.3199       7.738           0        7.738
   51      0.3273        7.65           0         7.65
   52       0.335        7.56           0         7.56
   53      0.3428       7.467           0        7.467
   54      0.3508       7.373           0        7.373
   55      0.3589       7.276           0        7.276
   56      0.3673         7.2           0          7.2
   57      0.3758       7.122           0        7.122
   58      0.3846       7.044           0        7.044
   59      0.3936       6.963           0        6.963
   60      0.4027        6.88           0         6.88
   61      0.4121       6.796           0        6.796
   62      0.4217       6.709           0        6.709
   63      0.4315        6.62           0         6.62
   64      0.4416        6.53           0         6.53
   65      0.4519       6.458           0        6.458
   66      0.4624       6.388           0        6.388
   67      0.4732       6.317           0        6.317
   68      0.4842       6.245           0        6.245
   69      0.4955        6.17           0         6.17
   70       0.507       6.094           0        6.094
   71      0.5188       6.016           0        6.016
   72      0.5309       5.936           0        5.936
   73      0.5433       5.855           0        5.855
   74      0.5559       5.787           0        5.787
   75      0.5689       5.725           0        5.725
   76      0.5821       5.662           0        5.662
   77      0.5957       5.597           0        5.597
   78      0.6095        5.53           0         5.53
   79      0.6237       5.462           0        5.462
   80      0.6383       5.393           0        5.393
   81      0.6531       5.321           0        5.321
   82      0.6683       5.249           0        5.249
   83      0.6839       5.186           0        5.186
   84      0.6998        5.13           0         5.13
   85      0.7161       5.073           0        5.073
   86      0.7328       5.014           0        5.014
   87      0.7499       4.955           0        4.955
   88      0.7674       4.893           0        4.893
   89      0.7852       4.831           0        4.831
   90      0.8035       4.767           0        4.767
   91      0.8222       4.701           0        4.701
   92      0.8414       4.643           0        4.643
   93       0.861       4.594           0        4.594
   94       0.881       4.543           0        4.543
   95      0.9016       4.491           0        4.491
   96      0.9226       4.439           0        4.439
   97      0.9441       4.384           0        4.384
   98      0.9661       4.329           0        4.329
   99      0.9886       4.272           0        4.272
  100       1.012       4.214           0        4.214
  101       1.035        4.16           0         4.16
  102       1.059       4.115           0        4.115
  103       1.084       4.069           0        4.069
  104       1.109       4.022           0        4.022
  105       1.135       3.974           0        3.974
  106       1.161       3.925           0        3.925
  107       1.189       3.874           0        3.874
  108       1.216       3.823           0        3.823
  109       1.245        3.77           0         3.77
  110       1.274       3.719           0        3.719
  111       1.303       3.678           0        3.678
  112       1.334       3.637           0        3.637
  113       1.365       3.594           0        3.594
  114       1.396       3.551           0        3.551
  115       1.429       3.506           0        3.506
  116       1.462       3.461           0        3.461
  117       1.496       3.414           0        3.414
  118       1.531       3.366           0        3.366
  119       1.567       3.319           0        3.319
  120       1.603       3.282           0        3.282
  121       1.641       3.244           0        3.244
  122       1.679       3.205           0        3.205
  123       1.718       3.166           0        3.166
  124       1.758       3.125           0        3.125
  125       1.799       3.084           0        3.084
  126       1.841       3.041           0        3.041
  127       1.884       2.998           0        2.998
  128       1.928       2.953           0        2.953
  129       1.972       2.919           0        2.919
  130       2.018       2.885           0        2.885
  131       2.065       2.849           0        2.849
  132       2.113       2.813           0        2.813
  133       2.163       2.776           0        2.776
  134       2.213       2.738           0        2.738
  135       2.265         2.7           0          2.7
  136       2.317        2.66           0         2.66
  137       2.371       2.619           0        2.619
  138       2.427       2.587           0        2.587
  139       2.483       2.555           0        2.555
  140       2.541       2.523           0        2.523
  141         2.6       2.489           0        2.489
  142       2.661       2.455           0        2.455
  143       2.723       2.421           0        2.421
  144       2.786       2.385           0        2.385
  145       2.851       2.349           0        2.349
