-------------------------------G4_H
-------------------------------anti_proton
### Fill Cross Sections for anti_proton off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012      0.6802        2.19         2.87
    1      0.1035      0.6728       2.166        2.839
    2      0.1059      0.6655       2.142        2.808
    3      0.1084      0.6582       2.119        2.777
    4      0.1109       0.651       2.096        2.747
    5      0.1135       0.644       2.073        2.717
    6      0.1161       0.637       2.051        2.688
    7      0.1189        0.63       2.028        2.658
    8      0.1216      0.6232       2.006         2.63
    9      0.1245      0.6164       1.985        2.601
   10      0.1274      0.6097       1.963        2.573
   11      0.1303      0.6031       1.942        2.545
   12      0.1334      0.5966       1.921        2.517
   13      0.1365      0.5901         1.9         2.49
   14      0.1396      0.5837       1.879        2.463
   15      0.1429      0.5774       1.859        2.436
   16      0.1462      0.5711       1.839         2.41
   17      0.1496      0.5649       1.819        2.384
   18      0.1531      0.5588       1.799        2.358
   19      0.1567      0.5528        1.78        2.333
   20      0.1603      0.5468       1.761        2.308
   21      0.1641      0.5409       1.742        2.283
   22      0.1679       0.535       1.723        2.258
   23      0.1718      0.5293       1.705        2.234
   24      0.1758      0.5235       1.686         2.21
   25      0.1799      0.5179       1.668        2.186
   26      0.1841      0.5123        1.65        2.162
   27      0.1884      0.5068       1.632        2.139
   28      0.1928      0.5013       1.615        2.116
   29      0.1972      0.4959       1.598        2.094
   30      0.2018      0.4906       1.581        2.071
   31      0.2065      0.4853       1.564        2.049
   32      0.2113        0.48       1.547        2.027
   33      0.2163      0.4749        1.53        2.005
   34      0.2213      0.4698       1.514        1.984
   35      0.2265      0.4647       1.498        1.963
   36      0.2317      0.4597       1.482        1.942
   37      0.2371      0.4548       1.466        1.921
   38      0.2427      0.4499        1.45          1.9
   39      0.2483      0.4451       1.435         1.88
   40      0.2541      0.4403        1.42         1.86
   41        0.26      0.4356       1.405         1.84
   42      0.2661      0.4309        1.39        1.821
   43      0.2723      0.4263       1.375        1.801
   44      0.2786      0.4217        1.36        1.782
   45      0.2851      0.4172       1.346        1.763
   46      0.2917      0.4127       1.332        1.744
   47      0.2985      0.4083       1.318        1.726
   48      0.3055      0.4039       1.304        1.708
   49      0.3126      0.3996        1.29        1.689
   50      0.3199      0.3953       1.276        1.672
   51      0.3273      0.3911       1.263        1.654
   52       0.335      0.3869       1.249        1.636
   53      0.3428      0.3828       1.236        1.619
   54      0.3508      0.3787       1.223        1.602
   55      0.3589      0.3746        1.21        1.585
   56      0.3673      0.3706       1.198        1.568
   57      0.3758      0.3667       1.185        1.552
   58      0.3846      0.3628       1.173        1.535
   59      0.3936      0.3589        1.16        1.519
   60      0.4027      0.3551       1.148        1.503
   61      0.4121      0.3513       1.136        1.487
   62      0.4217      0.3475       1.124        1.472
   63      0.4315      0.3438       1.113        1.456
   64      0.4416      0.3402       1.101        1.441
   65      0.4519      0.3365       1.089        1.426
   66      0.4624       0.333       1.078        1.411
   67      0.4732      0.3294       1.067        1.396
   68      0.4842      0.3259       1.056        1.382
   69      0.4955      0.3224       1.045        1.367
   70       0.507       0.319       1.034        1.353
   71      0.5188      0.3156       1.023        1.339
   72      0.5309      0.3123       1.013        1.325
   73      0.5433      0.3089       1.002        1.311
   74      0.5559      0.3057      0.9918        1.297
   75      0.5689      0.3024      0.9815        1.284
   76      0.5821      0.2992      0.9714        1.271
   77      0.5957       0.296      0.9613        1.257
   78      0.6095      0.2929      0.9514        1.244
   79      0.6237      0.2898      0.9416        1.231
   80      0.6383      0.2867       0.932        1.219
   81      0.6531      0.2837      0.9224        1.206
   82      0.6683      0.2806      0.9129        1.194
   83      0.6839      0.2777      0.9035        1.181
   84      0.6998      0.2747      0.8943        1.169
   85      0.7161      0.2718      0.8851        1.157
   86      0.7328      0.2689      0.8761        1.145
