-------------------------------G4_H
-------------------------------pi+
### Fill Cross Sections for pi+ off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012   0.0006705           0    0.0006705
    1      0.1035   0.0006705           0    0.0006705
    2      0.1059   0.0006705           0    0.0006705
    3      0.1084   0.0006705           0    0.0006705
    4      0.1109   0.0006705           0    0.0006705
    5      0.1135   0.0006705           0    0.0006705
    6      0.1161   0.0006705           0    0.0006705
    7      0.1189   0.0006705           0    0.0006705
    8      0.1216   0.0006705           0    0.0006705
    9      0.1245   0.0006705           0    0.0006705
   10      0.1274   0.0006705           0    0.0006705
   11      0.1303   0.0006705           0    0.0006705
   12      0.1334   0.0006705           0    0.0006705
   13      0.1365   0.0006705           0    0.0006705
   14      0.1396   0.0006705           0    0.0006705
   15      0.1429   0.0006705           0    0.0006705
   16      0.1462   0.0006705           0    0.0006705
   17      0.1496   0.0006705           0    0.0006705
   18      0.1531   0.0006705           0    0.0006705
   19      0.1567   0.0006705           0    0.0006705
   20      0.1603   0.0006705           0    0.0006705
   21      0.1641   0.0006705           0    0.0006705
   22      0.1679   0.0006705           0    0.0006705
   23      0.1718   0.0006705           0    0.0006705
   24      0.1758   0.0006705           0    0.0006705
   25      0.1799   0.0006705           0    0.0006705
   26      0.1841   0.0006705           0    0.0006705
   27      0.1884   0.0006705           0    0.0006705
   28      0.1928   0.0006705           0    0.0006705
   29      0.1972   0.0006705           0    0.0006705
   30      0.2018   0.0006705           0    0.0006705
   31      0.2065   0.0006705           0    0.0006705
   32      0.2113   0.0006705           0    0.0006705
   33      0.2163   0.0006705           0    0.0006705
   34      0.2213   0.0006705           0    0.0006705
   35      0.2265   0.0006705           0    0.0006705
   36      0.2317   0.0006705           0    0.0006705
   37      0.2371   0.0006705           0    0.0006705
   38      0.2427   0.0006705           0    0.0006705
   39      0.2483   0.0006705           0    0.0006705
   40      0.2541   0.0006705           0    0.0006705
   41        0.26   0.0006705           0    0.0006705
   42      0.2661   0.0006705           0    0.0006705
   43      0.2723   0.0006705           0    0.0006705
   44      0.2786   0.0006705           0    0.0006705
   45      0.2851   0.0006705           0    0.0006705
   46      0.2917   0.0006705           0    0.0006705
   47      0.2985   0.0006705           0    0.0006705
   48      0.3055   0.0006705           0    0.0006705
   49      0.3126   0.0006705           0    0.0006705
   50      0.3199   0.0006705           0    0.0006705
   51      0.3273   0.0006705           0    0.0006705
   52       0.335   0.0006705           0    0.0006705
   53      0.3428   0.0006705           0    0.0006705
   54      0.3508   0.0006705           0    0.0006705
   55      0.3589   0.0006705           0    0.0006705
   56      0.3673   0.0006705           0    0.0006705
   57      0.3758   0.0006705           0    0.0006705
   58      0.3846   0.0006705           0    0.0006705
   59      0.3936   0.0006705           0    0.0006705
   60      0.4027   0.0006705           0    0.0006705
   61      0.4121   0.0006705           0    0.0006705
   62      0.4217   0.0006705           0    0.0006705
   63      0.4315   0.0006705           0    0.0006705
   64      0.4416   0.0006705           0    0.0006705
   65      0.4519   0.0006705           0    0.0006705
   66      0.4624   0.0006705           0    0.0006705
   67      0.4732   0.0006705           0    0.0006705
   68      0.4842   0.0006705           0    0.0006705
   69      0.4955   0.0006705           0    0.0006705
   70       0.507   0.0006738           0    0.0006738
   71      0.5188   0.0006792           0    0.0006792
   72      0.5309   0.0006848           0    0.0006848
   73      0.5433   0.0006906           0    0.0006906
   74      0.5559   0.0006965           0    0.0006965
   75      0.5689   0.0007026           0    0.0007026
   76      0.5821   0.0007088           0    0.0007088
   77      0.5957   0.0007153           0    0.0007153
   78      0.6095   0.0007218           0    0.0007218
   79      0.6237   0.0007286           0    0.0007286
   80      0.6383   0.0007355           0    0.0007355
   81      0.6531   0.0007426           0    0.0007426
   82      0.6683   0.0007499           0    0.0007499
   83      0.6839   0.0007574           0    0.0007574
   84      0.6998   0.0007651           0    0.0007651
   85      0.7161    0.000773           0     0.000773
   86      0.7328   0.0007811           0    0.0007811
   87      0.7499   0.0007895           0    0.0007895
