.-------------------------------G4_H
-------------------------------pi-
### Fill Cross Sections for pi- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012    0.003141   0.0001594       0.0033
    1      0.1035    0.003141   0.0001613     0.003302
    2      0.1059    0.003141   0.0001632     0.003304
    3      0.1084    0.003141   0.0001651     0.003306
    4      0.1109    0.003141    0.000167     0.003308
    5      0.1135    0.003141   0.0001689      0.00331
    6      0.1161    0.003141   0.0001709     0.003312
    7      0.1189    0.003141   0.0001728     0.003314
    8      0.1216    0.003141   0.0001748     0.003316
    9      0.1245    0.003141   0.0001769     0.003318
   10      0.1274    0.003141   0.0001789      0.00332
   11      0.1303    0.003141    0.000181     0.003322
   12      0.1334    0.003141   0.0001831     0.003324
   13      0.1365    0.003141   0.0001852     0.003326
   14      0.1396    0.003141   0.0001873     0.003328
   15      0.1429    0.003141   0.0001895      0.00333
   16      0.1462    0.003141   0.0001917     0.003333
   17      0.1496    0.003141   0.0001939     0.003335
   18      0.1531    0.003141   0.0001962     0.003337
   19      0.1567    0.003141   0.0001985     0.003339
   20      0.1603    0.003141   0.0002008     0.003342
   21      0.1641    0.003141   0.0002031     0.003344
   22      0.1679    0.003141   0.0002054     0.003346
   23      0.1718    0.003141   0.0002078     0.003349
   24      0.1758    0.003141   0.0002102     0.003351
   25      0.1799    0.003141   0.0002127     0.003353
   26      0.1841    0.003141   0.0002151     0.003356
   27      0.1884    0.003141   0.0002176     0.003358
   28      0.1928    0.003141   0.0002201     0.003361
   29      0.1972    0.003141   0.0002227     0.003363
   30      0.2018    0.003141   0.0002253     0.003366
   31      0.2065    0.003141   0.0002279     0.003369
   32      0.2113    0.003141   0.0002305     0.003371
   33      0.2163    0.003141   0.0002332     0.003374
   34      0.2213    0.003141   0.0002359     0.003377
   35      0.2265    0.003141   0.0002386     0.003379
   36      0.2317    0.003141   0.0002414     0.003382
   37      0.2371    0.003141   0.0002442     0.003385
   38      0.2427    0.003141    0.000247     0.003388
   39      0.2483    0.003141   0.0002499     0.003391
   40      0.2541    0.003141   0.0002528     0.003394
   41        0.26    0.003141   0.0002557     0.003397
   42      0.2661    0.003141   0.0002587     0.003399
   43      0.2723    0.003141   0.0002617     0.003402
   44      0.2786    0.003141   0.0002647     0.003406
   45      0.2851    0.003141   0.0002678     0.003409
   46      0.2917    0.003141   0.0002709     0.003412
   47      0.2985    0.003141    0.000274     0.003415
   48      0.3055    0.003141   0.0002772     0.003418
   49      0.3126    0.003141   0.0002804     0.003421
   50      0.3199    0.003141   0.0002836     0.003424
   51      0.3273    0.003141   0.0002869     0.003428
   52       0.335    0.003141   0.0002903     0.003431
   53      0.3428    0.003141   0.0002936     0.003434
