-------------------------------G4_H
-------------------------------proton
### Fill Cross Sections for proton off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012       1.289           0        1.289
    1      0.1035       1.289           0        1.289
    2      0.1059       1.288           0        1.288
    3      0.1084       1.288           0        1.288
    4      0.1109       1.288           0        1.288
    5      0.1135       1.287           0        1.287
    6      0.1161       1.287           0        1.287
    7      0.1189       1.286           0        1.286
    8      0.1216       1.286           0        1.286
    9      0.1245       1.285           0        1.285
   10      0.1274       1.285           0        1.285
   11      0.1303       1.284           0        1.284
   12      0.1334       1.284           0        1.284
   13      0.1365       1.283           0        1.283
   14      0.1396       1.283           0        1.283
   15      0.1429       1.282           0        1.282
   16      0.1462       1.282           0        1.282
   17      0.1496       1.281           0        1.281
   18      0.1531        1.28           0         1.28
   19      0.1567        1.28           0         1.28
   20      0.1603       1.279           0        1.279
   21      0.1641       1.278           0        1.278
   22      0.1679       1.278           0        1.278
   23      0.1718       1.277           0        1.277
   24      0.1758       1.276           0        1.276
   25      0.1799       1.276           0        1.276
   26      0.1841       1.275           0        1.275
   27      0.1884       1.274           0        1.274
   28      0.1928       1.273           0        1.273
   29      0.1972       1.273           0        1.273
   30      0.2018       1.272           0        1.272
   31      0.2065       1.271           0        1.271
   32      0.2113        1.27           0         1.27
   33      0.2163       1.269           0        1.269
   34      0.2213       1.268           0        1.268
   35      0.2265       1.267           0        1.267
   36      0.2317       1.266           0        1.266
   37      0.2371       1.265           0        1.265
   38      0.2427       1.264           0        1.264
   39      0.2483       1.263           0        1.263
   40      0.2541       1.262           0        1.262
   41        0.26       1.261           0        1.261
   42      0.2661       1.259           0        1.259
   43      0.2723       1.258           0        1.258
   44      0.2786       1.257           0        1.257
   45      0.2851       1.256           0        1.256
   46      0.2917       1.254           0        1.254
   47      0.2985       1.253           0        1.253
   48      0.3055       1.252           0        1.252
   49      0.3126       1.251           0        1.251
   50      0.3199       1.249           0        1.249
   51      0.3273       1.247           0        1.247
   52       0.335       1.246           0        1.246
   53      0.3428       1.244           0        1.244
   54      0.3508       1.242           0        1.242
   55      0.3589       1.241           0        1.241
   56      0.3673       1.239           0        1.239
   57      0.3758       1.237           0        1.237
   58      0.3846       1.236           0        1.236
   59      0.3936       1.234           0        1.234
   60      0.4027       1.232           0        1.232
   61      0.4121        1.23           0         1.23
   62      0.4217       1.228           0        1.228
   63      0.4315       1.226           0        1.226
   64      0.4416       1.224           0        1.224
   65      0.4519       1.221           0        1.221
   66      0.4624       1.219           0        1.219
   67      0.4732       1.217           0        1.217
   68      0.4842       1.215           0        1.215
   69      0.4955       1.212           0        1.212
   70       0.507        1.21           0         1.21
   71      0.5188       1.208           0        1.208
   72      0.5309       1.205           0        1.205
   73      0.5433       1.202           0        1.202
   74      0.5559       1.199           0        1.199
   75      0.5689       1.197           0        1.197
   76      0.5821       1.194           0        1.194
   77      0.5957       1.191           0        1.191
   78      0.6095       1.188           0        1.188
   79      0.6237       1.185           0        1.185
   80      0.6383       1.182           0        1.182
   81      0.6531       1.179           0        1.179
   82      0.6683       1.176           0        1.176
   83      0.6839       1.173           0        1.173
   84      0.6998       1.169           0        1.169
   85      0.7161       1.165           0        1.165
   86      0.7328       1.161           0        1.161
   87      0.7499       1.158           0        1.158
   88      0.7674       1.154           0        1.154
   89      0.7852        1.15           0         1.15
   90      0.8035       1.146           0        1.146
   91      0.8222       1.143           0        1.143
   92      0.8414       1.139           0        1.139
   93       0.861       1.135           0        1.135
   94       0.881        1.13           0         1.13
   95      0.9016       1.126           0        1.126
   96      0.9226       1.121           0        1.121
   97      0.9441       1.116           0        1.116
   98      0.9661       1.112           0        1.112
   99      0.9886       1.107           0        1.107
  100       1.012       1.102           0        1.102
  101       1.035       1.097           0        1.097
  102       1.059       1.093           0        1.093
  103       1.084       1.088           0        1.088
  104       1.109       1.083           0        1.083
  105       1.135       1.078           0        1.078
  106       1.161       1.072           0        1.072
  107       1.189       1.066           0        1.066
  108       1.216        1.06           0         1.06
  109       1.245       1.054           0        1.054
  110       1.274       1.048           0        1.048
  111       1.303       1.043           0        1.043
  112       1.334       1.037           0        1.037
  113       1.365       1.031           0        1.031
  114       1.396       1.025           0        1.025
  115       1.429       1.019           0        1.019
  116       1.462       1.012           0        1.012
  117       1.496       1.006           0        1.006
  118       1.531      0.9986           0       0.9986
  119       1.567      0.9916           0       0.9916
  120       1.603      0.9847           0       0.9847
  121       1.641      0.9778           0       0.9778
  122       1.679      0.9708           0       0.9708
  123       1.718      0.9639           0       0.9639
  124       1.758       0.957           0        0.957
  125       1.799        0.95           0         0.95
  126       1.841       0.943           0        0.943
  127       1.884       0.935           0        0.935
  128       1.928       0.927           0        0.927
  129       1.972       0.919           0        0.919
  130       2.018       0.911           0        0.911
  131       2.065      0.9031           0       0.9031
  132       2.113      0.8951           0       0.8951
  133       2.163      0.8871           0       0.8871
  134       2.213      0.8791           0       0.8791
  135       2.265      0.8711           0       0.8711
  136       2.317      0.8631           0       0.8631
  137       2.371       0.855           0        0.855
  138       2.427      0.8462           0       0.8462
  139       2.483      0.8374           0       0.8374
  140       2.541      0.8286           0       0.8286
  141         2.6      0.8197           0       0.8197
  142       2.661      0.8109           0       0.8109
  143       2.723      0.8021           0       0.8021
  144       2.786      0.7933           0       0.7933
  145       2.851      0.7845           0       0.7845
  146       2.917      0.7756           0       0.7756
  147       2.985      0.7668           0       0.7668
  148       3.055      0.7579           0       0.7579
  149       3.126      0.7486           0       0.7486
  150       3.199      0.7392           0       0.7392
  151       3.273      0.7299           0       0.7299
  152        3.35      0.7206           0       0.7206
  153       3.428      0.7113           0       0.7113
  154       3.508       0.702           0        0.702
  155       3.589      0.6926           0       0.6926
  156       3.673      0.6833           0       0.6833
  157       3.758       0.674           0        0.674
  158       3.846      0.6647           0       0.6647
  159       3.936      0.6554           0       0.6554
  160       4.027      0.6464           0       0.6464
  161       4.121      0.6374           0       0.6374
  162       4.217      0.6283           0       0.6283
  163       4.315      0.6193           0       0.6193
  164       4.416      0.6103           0       0.6103
  165       4.519      0.6012           0       0.6012
  166       4.624      0.5922           0       0.5922
  167       4.732      0.5832           0       0.5832
  168       4.842      0.5741           0       0.5741
  169       4.955      0.5651           0       0.5651
  170        5.07       0.556           0        0.556
  171       5.188      0.5469           0       0.5469
  172       5.309      0.5378           0       0.5378
  173       5.433      0.5286           0       0.5286
  174       5.559      0.5195           0       0.5195
  175       5.689      0.5104           0       0.5104
  176       5.821      0.5013           0       0.5013
  177       5.957      0.4921           0       0.4921
  178       6.095       0.483           0        0.483
  179       6.237      0.4739           0       0.4739
  180       6.383      0.4647           0       0.4647
  181       6.531      0.4561           0       0.4561
  182       6.683      0.4479           0       0.4479
  183       6.839      0.4397           0       0.4397
  184       6.998      0.4316           0       0.4316
  185       7.161      0.4234           0       0.4234
  186       7.328      0.4153           0       0.4153
  187       7.499      0.4071           0       0.4071
  188       7.674       0.399           0        0.399
  189       7.852      0.3908           0       0.3908
  190       8.035      0.3826           0       0.3826
  191       8.222      0.3745           0       0.3745
  192       8.414      0.3669           0       0.3669
  193        8.61      0.3598           0       0.3598
  194        8.81      0.3527           0       0.3527
  195       9.016      0.3455           0       0.3455
  196       9.226      0.3384           0       0.3384
  197       9.441      0.3313           0       0.3313
  198       9.661      0.3242           0       0.3242
  199       9.886       0.317           0        0.317
  200       10.12      0.3099           0       0.3099
  201       10.35      0.3028           0       0.3028
  202       10.59      0.2956           0       0.2956
  203       10.84      0.2893           0       0.2893
  204       11.09      0.2833           0       0.2833
  205       11.35      0.2773           0       0.2773
  206       11.61      0.2713           0       0.2713
  207       11.89      0.2653           0       0.2653
  208       12.16      0.2593           0       0.2593
  209       12.45      0.2533           0       0.2533
  210       12.74      0.2473           0       0.2473
  211       13.03      0.2413           0       0.2413
  212       13.34      0.2353           0       0.2353
  213       13.65      0.2293           0       0.2293
  214       13.96      0.2242           0       0.2242
  215       14.29      0.2193           0       0.2193
  216       14.62      0.2144           0       0.2144
  217       14.96      0.2095           0       0.2095
  218       15.31      0.2046           0       0.2046
  219       15.67      0.1997           0       0.1997
  220       16.03      0.1949           0       0.1949
  221       16.41        0.19           0         0.19
  222       16.79      0.1851           0       0.1851
  223       17.18      0.1802           0       0.1802
  224       17.58      0.1753           0       0.1753
  225       17.99      0.1713           0       0.1713
  226       18.41      0.1675           0       0.1675
  227       18.84      0.1636           0       0.1636
  228       19.28      0.1597           0       0.1597
