-------------------------------G4_H
-------------------------------sigma-
### Fill Cross Sections for sigma- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012      0.9467           0       0.9467
    1      0.1035      0.9449           0       0.9449
    2      0.1059      0.9431           0       0.9431
    3      0.1084      0.9413           0       0.9413
    4      0.1109      0.9395           0       0.9395
    5      0.1135      0.9376           0       0.9376
    6      0.1161      0.9357           0       0.9357
    7      0.1189      0.9338           0       0.9338
    8      0.1216      0.9319           0       0.9319
    9      0.1245      0.9299           0       0.9299
   10      0.1274       0.928           0        0.928
   11      0.1303       0.926           0        0.926
   12      0.1334       0.924           0        0.924
   13      0.1365      0.9219           0       0.9219
   14      0.1396      0.9199           0       0.9199
   15      0.1429      0.9178           0       0.9178
   16      0.1462      0.9157           0       0.9157
   17      0.1496      0.9135           0       0.9135
   18      0.1531      0.9114           0       0.9114
   19      0.1567      0.9092           0       0.9092
   20      0.1603       0.907           0        0.907
   21      0.1641      0.9047           0       0.9047
   22      0.1679      0.9025           0       0.9025
   23      0.1718      0.9002           0       0.9002
   24      0.1758      0.8979           0       0.8979
   25      0.1799      0.8955           0       0.8955
   26      0.1841      0.8932           0       0.8932
   27      0.1884      0.8908           0       0.8908
   28      0.1928      0.8884           0       0.8884
   29      0.1972      0.8859           0       0.8859
   30      0.2018      0.8834           0       0.8834
   31      0.2065      0.8809           0       0.8809
   32      0.2113      0.8784           0       0.8784
   33      0.2163      0.8758           0       0.8758
   34      0.2213      0.8732           0       0.8732
   35      0.2265      0.8706           0       0.8706
   36      0.2317      0.8679           0       0.8679
   37      0.2371      0.8653           0       0.8653
   38      0.2427      0.8625           0       0.8625
   39      0.2483      0.8598           0       0.8598
   40      0.2541       0.857           0        0.857
   41        0.26      0.8542           0       0.8542
   42      0.2661      0.8513           0       0.8513
   43      0.2723      0.8485           0       0.8485
   44      0.2786      0.8455   6.734e-12       0.8455
   45      0.2851      0.8426    2.63e-11       0.8426
   46      0.2917      0.8396   4.609e-11       0.8396
   47      0.2985      0.8366   6.611e-11       0.8366
   48      0.3055      0.8336   8.637e-11       0.8336
   49      0.3126      0.8305   1.069e-10       0.8305
   50      0.3199      0.8273   1.276e-10       0.8273
   51      0.3273      0.8242   1.485e-10       0.8242
   52       0.335       0.821   1.698e-10        0.821
   53      0.3428      0.8178   1.912e-10       0.8178
   54      0.3508      0.8145   2.129e-10       0.8145
   55      0.3589      0.8112   2.349e-10       0.8112
   56      0.3673      0.8078   2.571e-10       0.8078
   57      0.3758      0.8045   2.795e-10       0.8045
   58      0.3846       0.801   3.023e-10        0.801
   59      0.3936      0.7976   3.253e-10       0.7976
   60      0.4027      0.7941   3.485e-10       0.7941
   61      0.4121      0.7905    3.72e-10       0.7905
   62      0.4217      0.7869   3.958e-10       0.7869
   63      0.4315      0.7833   4.199e-10       0.7833
   64      0.4416      0.7797   4.443e-10       0.7797
   65      0.4519      0.7759   4.689e-10       0.7759
   66      0.4624      0.7722   4.938e-10       0.7722
   67      0.4732      0.7684    5.19e-10       0.7684
   68      0.4842      0.7646   5.445e-10       0.7646
   69      0.4955      0.7607   5.703e-10       0.7607
   70       0.507      0.7567   5.964e-10       0.7567
   71      0.5188      0.7528   6.228e-10       0.7528
   72      0.5309      0.7487   6.495e-10       0.7487
   73      0.5433      0.7447   6.765e-10       0.7447
   74      0.5559      0.7406   7.038e-10       0.7406
   75      0.5689      0.7364   7.315e-10       0.7364
   76      0.5821      0.7322   8.602e-10       0.7322
   77      0.5957      0.7279   1.016e-09       0.7279
   78      0.6095      0.7236   1.173e-09       0.7236
   79      0.6237      0.7193   1.333e-09       0.7193
   80      0.6383      0.7148   1.494e-09       0.7148
   81      0.6531      0.7104   1.657e-09       0.7104
   82      0.6683      0.7059   1.822e-09       0.7059
   83      0.6839      0.7013   1.989e-09       0.7013
   84      0.6998      0.6967   2.158e-09       0.6967
   85      0.7161       0.692   2.328e-09        0.692
   86      0.7328      0.6873   2.501e-09       0.6873
   87      0.7499      0.6825   2.676e-09       0.6825
   88      0.7674      0.6777   2.853e-09       0.6777
   89      0.7852      0.6728   3.031e-09       0.6728
   90      0.8035      0.6678   3.212e-09       0.6678
   91      0.8222      0.6628   3.395e-09       0.6628
   92      0.8414      0.6578    3.58e-09       0.6578
   93       0.861      0.6526   3.768e-09       0.6526
   94       0.881      0.6475   3.957e-09       0.6475
   95      0.9016      0.6422   4.149e-09       0.6422
   96      0.9226      0.6369   4.357e-09       0.6369
   97      0.9441      0.6315   5.132e-09       0.6315
   98      0.9661      0.6261   5.916e-09       0.6261
   99      0.9886      0.6206   6.709e-09       0.6206
  100       1.012      0.6151   7.512e-09       0.6151
  101       1.035      0.6095   8.323e-09       0.6095
  102       1.059      0.6038   9.144e-09       0.6038
  103       1.084       0.598   9.974e-09        0.598
  104       1.109      0.5922   1.081e-08       0.5922
  105       1.135      0.5863   1.166e-08       0.5863
  106       1.161      0.5804   1.252e-08       0.5804
  107       1.189      0.5744   1.339e-08       0.5744
  108       1.216      0.5683   1.427e-08       0.5683
  109       1.245      0.5621   1.516e-08       0.5621
  110       1.274      0.5559   1.606e-08       0.5559
  111       1.303      0.5496   1.697e-08       0.5496
  112       1.334      0.5432    1.79e-08       0.5432
  113       1.365      0.5367   1.938e-08       0.5367
  114       1.396      0.5302   2.232e-08       0.5302
  115       1.429      0.5236   2.529e-08       0.5236
  116       1.462      0.5169   2.829e-08       0.5169
  117       1.496      0.5102   3.133e-08       0.5102
  118       1.531      0.5034   3.441e-08       0.5034
  119       1.567      0.4964   3.752e-08       0.4964
  120       1.603      0.4894   4.067e-08       0.4894
  121       1.641      0.4824   4.385e-08       0.4824
  122       1.679      0.4752   4.707e-08       0.4752
  123       1.718       0.468   5.033e-08        0.468
  124       1.758      0.4606   5.362e-08       0.4606
  125       1.799      0.4532   5.696e-08       0.4532
  126       1.841      0.4457   6.033e-08       0.4457
  127       1.884      0.4382   6.511e-08       0.4382
  128       1.928      0.4305   7.412e-08       0.4305
  129       1.972      0.4227   8.323e-08       0.4227
  130       2.018      0.4149   9.246e-08       0.4149
  131       2.065      0.4069   1.018e-07       0.4069
  132       2.113      0.3989   1.112e-07       0.3989
  133       2.163      0.3908   1.208e-07       0.3908
  134       2.213      0.3826   1.304e-07       0.3826
  135       2.265      0.3743   1.402e-07       0.3743
  136       2.317      0.3658   1.501e-07       0.3658
  137       2.371      0.3573   1.601e-07       0.3573
  138       2.427      0.3487   1.702e-07       0.3487
